Sr. No.,EmpID,Attendance Code,FName,Branch Code,Department Name,Division Name,Grade Code,Designation Name,Direct/Indirect,Roster,Attendance Date,In Time,Out Time,Total Hours,OT Hours,Late Hours,Application Status,Final Status,Attendance Type
1,48584,48584,Sean Spencer,P004,Production,Recruitment,C4,Engineer,Indirect,Working Day (G),24/02/2025,06:10 AM,01:18 PM,7.56,0.05,0.55,,Present,Half Day
2,36601,36601,April Lee,P005,Production,Recruitment,C2,Executive,t,Holiday,05/03/2025,05:13 AM,10:32 AM,7.08,0.68,0.87,,Leave,Full Day
3,32738,32738,Stephen Williams,P004,Production,Recruitment,C5,Supervisor,t,Working Day (G),02/03/2025,03:03 AM,03:02 PM,7.77,0.69,0.75,,Absent,Full Day
4,30617,30617,Zachary Hutchinson,P004,Quality,Support,C1,DM,t,Holiday,05/03/2025,08:31 AM,10:16 AM,7.53,0.49,0.04,,Absent Half Day,Half Day
5,33768,33768,Melissa Day,P002,Production,Support,C5,DM,t,Holiday,25/03/2025,11:28 PM,08:53 PM,7.81,0.86,0.36,,Present,Half Day
6,32176,32176,Kimberly Mitchell,P002,HR,Support,C5,DM,t,Holiday,17/03/2025,06:51 PM,04:32 PM,6.52,0.73,0.93,,Present,Leave
7,45646,45646,Jeff Meyers,P004,Production,Warranty,C4,DM,t,Weekend,04/03/2025,12:44 PM,07:47 AM,7.0,0.45,0.84,,Present,Full Day
8,33633,33633,Julie Holt,P002,Finance,Support,C5,Engineer,t,Working Day (G),19/03/2025,06:08 PM,05:10 AM,6.89,1.86,0.36,,Present,Leave
9,48464,48464,Debra Patel,P004,HR,Recruitment,C2,DM,t,Working Day (G),18/03/2025,06:04 AM,06:42 AM,8.84,0.21,0.67,,Present,Full Day
10,45681,45681,Christine Nelson,P005,IT,Support,C4,Executive,t,Holiday,15/03/2025,10:43 PM,02:42 AM,6.2,0.11,0.51,,Leave,Half Day
11,37028,37028,David Everett,P005,Production,Warranty,C3,Engineer,t,Weekend,28/02/2025,10:27 PM,03:15 PM,7.46,0.83,0.95,,Leave,Leave
12,45165,45165,Roy Shepherd,P003,Finance,Accounting,C5,Supervisor,t,Weekend,24/03/2025,03:26 PM,10:35 AM,8.77,1.96,0.03,,Absent Half Day,Leave
13,32817,32817,Jessica Salazar,P003,HR,Recruitment,C2,Supervisor,t,Holiday,14/03/2025,09:53 AM,06:35 PM,8.3,0.1,0.65,,Leave,Full Day
14,47921,47921,Angelica Brown,P003,Production,Support,C3,Supervisor,t,Holiday,14/03/2025,01:05 AM,09:00 AM,8.27,1.88,0.23,,Absent,Full Day
15,40256,40256,Timothy Jones,P001,IT,Accounting,C4,Supervisor,t,Holiday,25/03/2025,02:40 AM,04:30 AM,8.01,0.72,0.28,,Leave,Leave
16,34453,34453,Dorothy Frazier,P001,Production,Warranty,C2,Engineer,t,Weekend,02/03/2025,01:05 AM,02:39 AM,7.98,0.11,0.05,,Absent,Leave
17,48097,48097,Amanda Newman,P003,Finance,Manufacturing,C2,Engineer,t,Holiday,24/02/2025,02:12 AM,07:23 PM,6.39,1.67,0.24,,Absent,Half Day
18,39078,39078,Darren Wright,P001,HR,Manufacturing,C3,Manager,t,Holiday,06/03/2025,01:37 AM,09:33 AM,6.09,1.22,0.8,,Absent Half Day,Leave
19,31368,31368,Nicholas Blevins,P001,Quality,Accounting,C4,Engineer,t,Working Day (G),24/02/2025,11:13 AM,01:28 PM,6.89,1.08,0.44,,Present,Half Day
20,31744,31744,Benjamin Hall,P002,Production,Recruitment,C1,Executive,t,Holiday,16/03/2025,07:21 AM,07:33 AM,7.32,1.58,0.71,,Present,Half Day
21,40637,40637,Rebecca Salinas,P001,Quality,Accounting,C1,Engineer,t,Working Day (G),23/03/2025,12:42 PM,09:30 AM,6.23,0.09,0.8,,Present,Half Day
22,39538,39538,Walter Woods,P001,Quality,Accounting,C3,Executive,t,Working Day (G),11/03/2025,08:24 AM,10:37 PM,8.48,0.88,0.68,,Present,Half Day
23,31222,31222,Lynn Adams,P005,IT,Warranty,C1,Manager,t,Weekend,23/03/2025,08:13 AM,05:11 AM,6.82,1.62,0.93,,Absent Half Day,Half Day
24,41466,41466,Kathy Clark,P001,Production,Accounting,C1,Manager,t,Holiday,21/03/2025,12:00 AM,01:23 PM,6.57,0.91,0.94,,Absent Half Day,Full Day
25,31385,31385,Gregory Gregory,P001,HR,Manufacturing,C1,Manager,t,Working Day (G),28/02/2025,08:01 AM,04:06 AM,6.47,1.29,0.68,,Leave,Leave
26,31924,31924,Christine Mcclure,P004,Quality,Warranty,C5,Engineer,t,Holiday,16/03/2025,07:50 PM,05:54 PM,7.65,1.38,0.89,,Absent Half Day,Full Day
